name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Sugawara Yukinari,Southampton,DEF,38,Arsenal,True,-5.3,0.04,0.0023392857142857143,0.0,0.006594470857545343,0.045,1,1050,1300
Mark Flekken,Brentford,GK,38,Wolves,False,0.6,0.04,0.003287878787878788,0.06328787878787873,0.041137121212121174,0.01,20,1080,1120
Cameron Burgess,Ipswich,DEF,38,West Ham,True,-0.75,0.04,0.0,0.0,0.006594470857545343,0.045,19,1070,1120
Ryan Manning,Southampton,DEF,38,Arsenal,True,-5.3,0.04,0.000625,0.0,0.006594470857545343,0.039357142857142854,1,1050,1300
Tosin Adarabioyo,Chelsea,DEF,38,Nott'm Forest,False,0.0,0.04,0.0,0.0,0.006594470857545343,0.04058620689655172,16,1150,1190
Álex Moreno Lopera,Nott'm Forest,DEF,38,Chelsea,True,-1.6,0.04,0.0017142857142857142,0.0,0.006594470857545343,0.04218181818181818,6,1200,1320
Jack Stephens,Southampton,DEF,38,Arsenal,True,-5.3,0.04,0.000625,0.0,0.006594470857545343,0.03936,1,1050,1300
Ben Davies,Spurs,DEF,38,Brighton,True,-0.7,0.03,0.0,0.0,0.006594470857545343,0.03,5,1090,1160
James Bree,Southampton,DEF,38,Arsenal,True,-5.3,0.03,0.0013392857142857143,0.0,0.006594470857545343,0.03004,1,1050,1300
Jake O'Brien,Everton,DEF,38,Newcastle,False,-1.8,0.03,0.001,0.0,0.006594470857545343,0.033161290322580646,15,1140,1250
Vladimír Coufal,West Ham,DEF,38,Ipswich,False,0.25,0.03,0.0,0.025000000000000022,0.022844470857545356,0.03169565217391304,10,1080,1080
Łukasz Fabiański,West Ham,GK,38,Ipswich,False,0.25,0.02,0.0,0.025000000000000022,0.016250000000000014,0.008106060606060606,10,1080,1080
Alphonse Areola,West Ham,GK,38,Ipswich,False,0.25,0.02,0.0,0.025000000000000022,0.016250000000000014,0.009725806451612903,10,1080,1080
Jordan Pickford,Everton,GK,38,Newcastle,False,-1.8,0.01,0.0,0.0,0.0,0.01,15,1140,1250
