name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Marcus Rashford,Aston Villa,MID,36,Bournemouth,False,-0.8,0.09,0.12181198237889168,0.04181198237889172,0.0499338800430474,0.08925,3,1160,1260
Mikel Merino,Arsenal,MID,36,Liverpool,False,-0.2,0.09,0.03713653707403707,0.017136537074037055,0.03389484059489187,0.09206896551724138,12,1370,1370
Diego Gómez,Brighton,MID,36,Wolves,False,0.75,0.08,0.0,0.07499999999999996,0.07150609149676776,0.07509090909090908,20,1140,1120
Yves Bissouma,Spurs,MID,36,Crystal Palace,True,-0.1,0.08,0.0,0.0,0.02275609149676778,0.08469230769230769,7,1090,1120
Wes Burns,Ipswich,MID,36,Brentford,True,-3.6,0.08,0.0,0.0,0.02275609149676778,0.08381818181818182,4,1070,1310
Jesper Lindstrøm,Everton,MID,36,Fulham,False,-0.35,0.08,0.0,0.0,0.02275609149676778,0.08475862068965517,9,1140,1150
Daichi Kamada,Crystal Palace,MID,36,Spurs,False,-0.9,0.08,0.0015476190476190477,0.0,0.02275609149676778,0.076,18,1140,1210
Mads Roerslev Rasmussen,Brentford,DEF,36,Ipswich,False,1.2,0.08,0.0,0.12,0.08459447085754535,0.045909090909090906,10,1080,1080
Harry Wilson,Fulham,MID,36,Everton,True,0.75,0.08,0.011666666666666665,0.08666666666666661,0.07908942483010108,0.07208695652173912,8,1150,1100
Guido Rodríguez,West Ham,MID,36,Man Utd,False,-0.45,0.08,0.0,0.0,0.02275609149676778,0.08466666666666667,14,1080,1110
Mark Flekken,Brentford,GK,36,Ipswich,False,1.2,0.08,0.002833333333333333,0.12283333333333332,0.07984166666666666,0.01,10,1080,1080
Lesley Ugochukwu,Southampton,MID,36,Man City,True,-4.95,0.08,0.0007142857142857143,0.0,0.02275609149676778,0.08426666666666666,13,1050,1350
Boubacar Kamara,Aston Villa,MID,36,Bournemouth,False,-0.8,0.08,0.00125,0.0,0.02275609149676778,0.08248275862068966,3,1160,1260
Trent Alexander-Arnold,Liverpool,DEF,36,Arsenal,True,0.6,0.08,0.05667882117882118,0.11667882117882111,0.08243570462377907,0.06,1,1340,1300
Leon Bailey,Aston Villa,MID,36,Bournemouth,False,-0.8,0.08,0.009321969696969697,0.0,0.02275609149676778,0.08353846153846153,3,1160,1260
Adam Wharton,Crystal Palace,MID,36,Spurs,False,-0.9,0.07,0.0008333333333333333,0.0,0.02275609149676778,0.07453333333333333,18,1140,1210
Crysencio Summerville,West Ham,MID,36,Man Utd,False,-0.45,0.07,0.001607142857142857,0.0,0.02275609149676778,0.07390476190476189,14,1080,1110
Albert Grønbæk,Southampton,MID,36,Man City,True,-4.95,0.07,0.0,0.0,0.02275609149676778,0.0705,13,1050,1350
Oliver Skipp,Leicester,MID,36,Nott'm Forest,False,-2.2,0.07,0.0,0.0,0.02275609149676778,0.06695652173913044,16,1080,1190
James Garner,Everton,MID,36,Fulham,False,-0.35,0.07,0.0,0.0,0.02275609149676778,0.06774193548387096,9,1140,1150
Lucas Bergvall,Spurs,MID,36,Crystal Palace,True,-0.1,0.07,0.0,0.0,0.02275609149676778,0.0688125,7,1090,1120
Christian Eriksen,Man Utd,MID,36,West Ham,True,0.15,0.07,0.0,0.015000000000000013,0.03250609149676779,0.06661538461538462,19,1120,1120
